date,close price,DGX_SHE,DGX_TA,DGX_TL,market cap,PB Ratio
2017-03-16,98.72,4628000000.0,10100000000.0,5472000000.0,13919520000.0,3.007675021607606
2017-03-17,99.06,4628000000.0,10100000000.0,5472000000.0,13967460000.0,3.0180337078651687
2017-03-20,99.17,4628000000.0,10100000000.0,5472000000.0,13982970000.0,3.0213850475367328
2017-03-21,98.43,4628000000.0,10100000000.0,5472000000.0,13878630000.000002,2.998839671564391
2017-03-22,98.57,4628000000.0,10100000000.0,5472000000.0,13898369999.999998,3.0031050129645633
2017-03-23,98.27,4628000000.0,10100000000.0,5472000000.0,13856070000.0,2.993964995678479
2017-03-24,98.7,4628000000.0,10100000000.0,5472000000.0,13916700000.0,3.007065687121867
2017-03-27,98.64,4628000000.0,10100000000.0,5472000000.0,13908240000.0,3.00523768366465
2017-03-28,98.84,4628000000.0,10100000000.0,5472000000.0,13936440000.0,3.0113310285220396
2017-03-29,98.22,4628000000.0,10100000000.0,5472000000.0,13849020000.0,2.992441659464131
2017-03-30,98.37,4628000000.0,10100000000.0,5472000000.0,13870170000.0,2.9970116681071737
2017-03-31,98.19,4628000000.0,10100000000.0,5472000000.0,13844790000.0,2.991527657735523
2017-04-03,98.01,4628000000.0,10100000000.0,5472000000.0,13721400000.0,2.964866032843561
2017-04-04,97.62,4628000000.0,10100000000.0,5472000000.0,13666800000.0,2.953068280034572
2017-04-05,97.89,4628000000.0,10100000000.0,5472000000.0,13704600000.0,2.9612359550561798
2017-04-06,97.86,4628000000.0,10100000000.0,5472000000.0,13700400000.0,2.9603284356093345
2017-04-07,97.85,4628000000.0,10100000000.0,5472000000.0,13699000000.0,2.9600259291270525
2017-04-10,98.21,4628000000.0,10100000000.0,5472000000.0,13749400000.0,2.970916162489196
2017-04-11,98.23,4628000000.0,10100000000.0,5472000000.0,13752200000.0,2.9715211754537596
2017-04-12,98.12,4628000000.0,10100000000.0,5472000000.0,13736800000.0,2.9681936041486603
2017-04-13,97.25,4628000000.0,10100000000.0,5472000000.0,13615000000.0,2.941875540190147
2017-04-17,97.77,4628000000.0,10100000000.0,5472000000.0,13687800000.0,2.9576058772687985
2017-04-18,97.11,4628000000.0,10100000000.0,5472000000.0,13595400000.0,2.9376404494382022
2017-04-19,98.11,4628000000.0,10100000000.0,5472000000.0,13735400000.0,2.9678910976663784
2017-04-20,104.03,4628000000.0,10100000000.0,5472000000.0,14564200000.0,3.1469749351771825
2017-04-21,103.3,4630000000.0,10109000000.0,5479000000.0,14462000000.0,3.1235421166306696
2017-04-24,104.09,4630000000.0,10109000000.0,5479000000.0,14572600000.0,3.147429805615551
2017-04-25,105.87,4630000000.0,10109000000.0,5479000000.0,14821800000.0,3.201252699784017
2017-04-26,105.76,4630000000.0,10109000000.0,5479000000.0,14806400000.0,3.19792656587473
2017-04-27,105.81,4630000000.0,10109000000.0,5479000000.0,14813400000.0,3.199438444924406
2017-04-28,105.51,4630000000.0,10109000000.0,5479000000.0,14771400000.0,3.19036717062635
2017-05-01,106.27,4630000000.0,10109000000.0,5479000000.0,14877800000.0,3.2133477321814254
2017-05-02,106.8,4630000000.0,10109000000.0,5479000000.0,14952000000.0,3.2293736501079913
2017-05-03,106.74,4630000000.0,10109000000.0,5479000000.0,14943600000.0,3.22755939524838
2017-05-04,107.22,4630000000.0,10109000000.0,5479000000.0,15010800000.0,3.24207343412527
2017-05-05,107.09,4630000000.0,10109000000.0,5479000000.0,14992600000.0,3.2381425485961124
2017-05-08,107.19,4630000000.0,10109000000.0,5479000000.0,15006600000.0,3.2411663066954643
2017-05-09,107.28,4630000000.0,10109000000.0,5479000000.0,15019200000.0,3.243887688984881
2017-05-10,107.85,4630000000.0,10109000000.0,5479000000.0,15099000000.0,3.2611231101511877
2017-05-11,107.41,4630000000.0,10109000000.0,5479000000.0,15037400000.0,3.2478185745140387
2017-05-12,106.47,4630000000.0,10109000000.0,5479000000.0,14905800000.0,3.21939524838013
2017-05-15,107.59,4630000000.0,10109000000.0,5479000000.0,15062600000.0,3.2532613390928726
2017-05-16,106.39,4630000000.0,10109000000.0,5479000000.0,14894600000.0,3.216976241900648
2017-05-17,105.12,4630000000.0,10109000000.0,5479000000.0,14716800000.0,3.178574514038877
2017-05-18,105.65,4630000000.0,10109000000.0,5479000000.0,14791000000.0,3.194600431965443
2017-05-19,105.89,4630000000.0,10109000000.0,5479000000.0,14824600000.0,3.2018574514038876
2017-05-22,106.55,4630000000.0,10109000000.0,5479000000.0,14917000000.0,3.2218142548596114
2017-05-23,106.51,4630000000.0,10109000000.0,5479000000.0,14911400000.0,3.2206047516198706
2017-05-24,106.54,4630000000.0,10109000000.0,5479000000.0,14915600000.0,3.221511879049676
2017-05-25,108.14,4630000000.0,10109000000.0,5479000000.0,15139600000.0,3.269892008639309
2017-05-26,107.98,4630000000.0,10109000000.0,5479000000.0,15117200000.0,3.2650539956803457
2017-05-30,107.89,4630000000.0,10109000000.0,5479000000.0,15104600000.0,3.2623326133909285
2017-05-31,108.77,4630000000.0,10109000000.0,5479000000.0,15227800000.0,3.2889416846652266
2017-06-01,109.72,4630000000.0,10109000000.0,5479000000.0,15360800000.0,3.317667386609071
2017-06-02,109.94,4630000000.0,10109000000.0,5479000000.0,15391600000.0,3.324319654427646
2017-06-05,109.34,4630000000.0,10109000000.0,5479000000.0,15307600000.0,3.3061771058315337
2017-06-06,109.14,4630000000.0,10109000000.0,5479000000.0,15279600000.0,3.3001295896328293
2017-06-07,108.93,4630000000.0,10109000000.0,5479000000.0,15250200000.000002,3.2937796976241906
2017-06-08,108.32,4630000000.0,10109000000.0,5479000000.0,15164799999.999998,3.275334773218142
2017-06-09,108.41,4630000000.0,10109000000.0,5479000000.0,15177400000.0,3.2780561555075596
2017-06-12,107.44,4630000000.0,10109000000.0,5479000000.0,15041600000.0,3.2487257019438447
2017-06-13,108.43,4630000000.0,10109000000.0,5479000000.0,15180200000.000002,3.2786609071274304
2017-06-14,107.23,4630000000.0,10109000000.0,5479000000.0,15012200000.0,3.242375809935205
2017-06-15,107.73,4630000000.0,10109000000.0,5479000000.0,15082200000.0,3.2574946004319654
2017-06-16,107.67,4630000000.0,10109000000.0,5479000000.0,15073800000.0,3.255680345572354
2017-06-19,108.14,4630000000.0,10109000000.0,5479000000.0,15139600000.0,3.269892008639309
2017-06-20,108.34,4630000000.0,10109000000.0,5479000000.0,15167600000.0,3.2759395248380128
2017-06-21,109.03,4630000000.0,10109000000.0,5479000000.0,15264200000.0,3.296803455723542
2017-06-22,109.56,4630000000.0,10109000000.0,5479000000.0,15338400000.0,3.312829373650108
2017-06-23,109.7,4630000000.0,10109000000.0,5479000000.0,15358000000.0,3.3170626349892007
2017-06-26,110.05,4630000000.0,10109000000.0,5479000000.0,15407000000.0,3.327645788336933
2017-06-27,109.47,4630000000.0,10109000000.0,5479000000.0,15325800000.0,3.3101079913606912
2017-06-28,111.11,4630000000.0,10109000000.0,5479000000.0,15555400000.0,3.3596976241900647
