date,close price,CHTR_SHE,CHTR_TA,CHTR_TL,market cap,PB Ratio
2016-01-27,165.29,60000000.0,36873000000.0,36813000000.0,18563974281.309998,309.39957135516664
2016-01-28,167.3,60000000.0,36873000000.0,36813000000.0,18789720474.7,313.1620079116667
2016-01-29,171.36,60000000.0,36873000000.0,36813000000.0,19245705323.04,320.761755384
2016-02-01,175.75,60000000.0,36873000000.0,36813000000.0,19738752979.25,328.97921632083336
2016-02-02,172.0,60000000.0,36873000000.0,36813000000.0,19317584708.0,321.95974513333334
2016-02-03,176.45,60000000.0,36873000000.0,36813000000.0,19817371056.55,330.28951760916664
2016-02-04,170.5,60000000.0,36873000000.0,36813000000.0,19149117399.5,319.15195665833335
2016-02-05,168.54,60000000.0,36873000000.0,36813000000.0,18928986783.059998,315.483113051
2016-02-08,162.59,60000000.0,36873000000.0,36813000000.0,18260733126.010002,304.3455521001667
2016-02-09,165.04,60000000.0,36873000000.0,36813000000.0,18535896396.559998,308.9316066093333
2016-02-10,161.08,-46000000.0,39316000000.0,39362000000.0,18091142702.120003,-393.28571091565226
2016-02-11,159.53,-46000000.0,39316000000.0,39362000000.0,17917059816.670002,-389.50130036239136
2016-02-12,167.75,-46000000.0,39316000000.0,39362000000.0,18840260667.25,-409.5708840706522
2016-02-16,168.93,-46000000.0,39316000000.0,39362000000.0,18972788283.27,-412.4519192015218
2016-02-17,171.91,-46000000.0,39316000000.0,39362000000.0,19307476669.489998,-419.7277536845652
2016-02-18,171.94,-46000000.0,39316000000.0,39362000000.0,19310846015.66,-419.80100034043477
2016-02-19,173.57,-46000000.0,39316000000.0,39362000000.0,19493913824.23,-423.7807353093478
2016-02-22,177.05,-46000000.0,39316000000.0,39362000000.0,19884757979.95,-432.2773473902174
2016-02-23,174.39,-46000000.0,39316000000.0,39362000000.0,19586009286.21,-425.7828105697826
2016-02-24,175.79,-46000000.0,39316000000.0,39362000000.0,19743245440.809998,-429.2009878436956
2016-02-25,183.04,-46000000.0,39316000000.0,39362000000.0,20557504098.559998,-446.9022630121739
2016-02-26,181.21,-46000000.0,39316000000.0,39362000000.0,20351973982.190002,-442.43421700413046
2016-02-29,179.56,-46000000.0,39316000000.0,39362000000.0,20166659942.84,-438.40565093130436
2016-03-01,184.33,-46000000.0,39316000000.0,39362000000.0,20702385983.870003,-450.0518692145653
2016-03-02,181.88,-46000000.0,39316000000.0,39362000000.0,20427222713.32,-444.0700589852174
2016-03-03,183.67,-46000000.0,39316000000.0,39362000000.0,20628260368.129997,-448.4404427854347
2016-03-04,184.78,-46000000.0,39316000000.0,39362000000.0,20752926176.420002,-451.1505690526087
2016-03-07,185.3,-46000000.0,39316000000.0,39362000000.0,20811328176.7,-452.42017775434783
2016-03-08,182.92,-46000000.0,39316000000.0,39362000000.0,20544026713.879997,-446.6092763886956
2016-03-09,186.55,-46000000.0,39316000000.0,39362000000.0,20951717600.45,-455.4721217489131
2016-03-10,185.01,-46000000.0,39316000000.0,39362000000.0,20778757830.39,-451.7121267476087
2016-03-11,187.61,-46000000.0,39316000000.0,39362000000.0,21070767831.79,-458.0601702563044
2016-03-14,186.0,-46000000.0,39316000000.0,39362000000.0,20889946254.0,-454.1292663913043
2016-03-15,186.93,-46000000.0,39316000000.0,39362000000.0,20994395985.27,-456.39991272326085
2016-03-16,198.16,-46000000.0,39316000000.0,39362000000.0,22255654568.239998,-483.81857757043474
2016-03-17,201.02,-46000000.0,39316000000.0,39362000000.0,22576865569.780003,-490.80142543000005
2016-03-18,201.0,-46000000.0,39316000000.0,39362000000.0,22574619339.0,-490.752594326087
