date,close price,AVB_SHE,AVB_TA,AVB_TL,market cap,PB Ratio
2003-10-02,47.15,2101757000.0,4934775000.0,2794580000.0,3232587827.5499997,1.538040709534927
2003-10-03,47.4,2101757000.0,4934775000.0,2794580000.0,3249727741.7999997,1.546195750412631
2003-10-06,48.09,2101757000.0,4934775000.0,2794580000.0,3297033905.13,1.5687036632350935
2003-10-07,47.77,2101757000.0,4934775000.0,2794580000.0,3275094814.8900003,1.5582652109116326
2003-10-08,47.85,2101757000.0,4934775000.0,2794580000.0,3280579587.4500003,1.5608748239924979
2003-10-09,48.1,2101757000.0,4934775000.0,2794580000.0,3297719501.7000003,1.5690298648702017
2003-10-10,48.07,2101757000.0,4934775000.0,2794580000.0,3295662711.9900002,1.568051259964877
2003-10-13,48.02,2101757000.0,4934775000.0,2794580000.0,3292234729.1400003,1.5664202517893364
2003-10-14,48.19,2101757000.0,4934775000.0,2794580000.0,3303889870.83,1.5719656795861747
2003-10-15,47.65,2101757000.0,4934775000.0,2794580000.0,3266867656.0499997,1.5543507912903345
2003-10-16,47.49,2101757000.0,4934775000.0,2794580000.0,3255898110.9300003,1.5491315651286044
2003-10-17,46.5,2101757000.0,4934775000.0,2794580000.0,3188024050.5,1.5168376032528974
2003-10-20,46.25,2101757000.0,4934775000.0,2794580000.0,3170884136.25,1.5086825623751936
2003-10-21,46.1,2101757000.0,4934775000.0,2794580000.0,3160600187.7000003,1.5037895378485715
2003-10-22,45.78,2101757000.0,4934775000.0,2794580000.0,3138661097.46,1.4933510855251106
2003-10-23,45.75,2101757000.0,4934775000.0,2794580000.0,3136604307.75,1.4923724806197862
2003-10-24,45.1,2101757000.0,4934775000.0,2794580000.0,3092040530.7000003,1.4711693743377565
2003-10-27,45.7,2101757000.0,4934775000.0,2794580000.0,3133176324.9,1.4907414724442456
2003-10-28,45.15,2101757000.0,4934775000.0,2794580000.0,3095468513.5499997,1.4728003825132971
2003-10-29,45.14,2101757000.0,4934775000.0,2794580000.0,3094782916.98,1.4724741808781892
2003-10-30,45.96,2101757000.0,4934775000.0,2794580000.0,3151001835.7200003,1.4992227149570574
2003-10-31,45.67,2101757000.0,4934775000.0,2794580000.0,3131119535.19,1.489762867538921
2003-11-03,45.98,2101757000.0,4934775000.0,2794580000.0,3152373028.8599997,1.4998751182272736
2003-11-04,46.7,2101757000.0,4934775000.0,2794580000.0,3201735981.9,1.5233616359550606
2003-11-05,46.5,2101757000.0,4934775000.0,2794580000.0,3188024050.5,1.5168376032528974
