date,VRSK,VRSK_SHE,PB Ratio
2017-04-21,13817840075.35,1332400000.0,10.370639504165416
2017-04-24,13988764980.14,1332400000.0,10.498922981191834
2017-04-25,14041227079.63,1332400000.0,10.538297117704893
2017-04-26,14076765921.220001,1332400000.0,10.564969919858902
2017-04-27,14071688943.85,1332400000.0,10.561159519551186
2017-04-28,14014149866.99,1332400000.0,10.517974982730411
2017-05-01,14007380563.83,1332400000.0,10.51289444898679
2017-05-02,13907533342.220001,1385600000.0,10.037192077237298
2017-05-03,12988600438.25,1385600000.0,9.373989923679272
2017-05-04,13201833487.79,1385600000.0,9.527882136107102
2017-05-05,13497990501.04,1385600000.0,9.741621320034643
2017-05-08,13420143514.699999,1385600000.0,9.68543844883083
2017-05-09,13413374211.54,1385600000.0,9.680552981769631
2017-05-10,13318603967.300001,1385600000.0,9.612156442912818
2017-05-11,13247526284.12,1385600000.0,9.560859038770209
2017-05-12,13217064419.9,1385600000.0,9.538874436994803
2017-05-15,13364296763.63,1385600000.0,9.645133345575923
2017-05-16,13338911876.779999,1385600000.0,9.626812844096419
2017-05-17,13284757451.5,1385600000.0,9.587729107606814
