date,close price,SWKS_SHE,SWKS_TA,SWKS_TL,market cap,PB Ratio
2019-05-06,86.52,4080900000.0,4765500000.0,684600000.0,15158304000.0,3.714451223994707
2019-05-07,83.55,4080900000.0,4765500000.0,684600000.0,14637960000.0,3.586944056458134
2019-05-08,84.06,4080900000.0,4765500000.0,684600000.0,14727312000.0,3.608839226641182
2019-05-09,83.64,4080900000.0,4765500000.0,684600000.0,14653728000.0,3.5908079100198487
2019-05-10,82.56,4080900000.0,4765500000.0,684600000.0,14464512000.0,3.5444416672792767
2019-05-13,76.63,4080900000.0,4765500000.0,684600000.0,13425576000.0,3.2898566492685437
2019-05-14,78.11,4080900000.0,4765500000.0,684600000.0,13684872000.0,3.353395574505624
2019-05-15,78.75,4080900000.0,4765500000.0,684600000.0,13797000000.0,3.3808718665000366
2019-05-16,73.99,4080900000.0,4765500000.0,684600000.0,12963048000.0,3.17651694479159
2019-05-17,70.41,4080900000.0,4765500000.0,684600000.0,12335832000.0,3.0228214364478423
2019-05-20,68.01,4080900000.0,4765500000.0,684600000.0,11915352000.0,2.9197853414687938
2019-05-21,69.74,4080900000.0,4765500000.0,684600000.0,12218448000.0,2.9940571932661912
2019-05-22,68.54,4080900000.0,4765500000.0,684600000.0,12008208000.000002,2.942539145776667
2019-05-23,68.46,4080900000.0,4765500000.0,684600000.0,11994191999.999998,2.939104609277365
2019-05-24,69.53,4080900000.0,4765500000.0,684600000.0,12181656000.0,2.9850415349555246
2019-05-28,68.01,4080900000.0,4765500000.0,684600000.0,11915352000.0,2.9197853414687938
2019-05-29,68.54,4080900000.0,4765500000.0,684600000.0,12008208000.000002,2.942539145776667
2019-05-30,68.27,4080900000.0,4765500000.0,684600000.0,11960904000.0,2.930947585091524
2019-05-31,66.63,4080900000.0,4765500000.0,684600000.0,11673576000.0,2.8605395868558405
2019-06-03,66.92,4080900000.0,4765500000.0,684600000.0,11724384000.0,2.872989781665809
2019-06-04,69.4,4080900000.0,4765500000.0,684600000.0,12158880000.000002,2.9794604131441598
2019-06-05,67.96,4080900000.0,4765500000.0,684600000.0,11906591999.999998,2.91763875615673
2019-06-06,69.43,4080900000.0,4765500000.0,684600000.0,12164136000.000002,2.980748364331398
2019-06-07,70.15,4080900000.0,4765500000.0,684600000.0,12290280000.000002,3.0116591928251126
2019-06-10,73.1,4080900000.0,4765500000.0,684600000.0,12807119999.999998,3.138307726236859
2019-06-11,73.97,4080900000.0,4765500000.0,684600000.0,12959544000.0,3.1756583106667646
2019-06-12,72.66,4080900000.0,4765500000.0,684600000.0,12730032000.0,3.1194177754907004
2019-06-13,73.35,4080900000.0,4765500000.0,684600000.0,12850919999.999998,3.1490406527971766
2019-06-14,71.8,4080900000.0,4765500000.0,684600000.0,12579360000.0,3.0824965081232083
2019-06-17,72.44,4080900000.0,4765500000.0,684600000.0,12691488000.0,3.109972800117621
2019-06-18,75.72,4080900000.0,4765500000.0,684600000.0,13266144000.0,3.2507887965889877
2019-06-19,75.53,4080900000.0,4765500000.0,684600000.0,13232856000.0,3.242631772403146
2019-06-20,75.84,4080900000.0,4765500000.0,684600000.0,13287168000.0,3.25594060133794
2019-06-21,75.22,4080900000.0,4765500000.0,684600000.0,13178544000.0,3.2293229434683526
2019-06-24,75.91,4080900000.0,4765500000.0,684600000.0,13299432000.0,3.258945820774829
2019-06-25,74.32,4080900000.0,4765500000.0,684600000.0,13020863999.999998,3.190684407851209
2019-06-26,75.84,4080900000.0,4765500000.0,684600000.0,13287168000.0,3.25594060133794
2019-06-27,76.95,4080900000.0,4765500000.0,684600000.0,13481640000.0,3.30359479526575
2019-06-28,77.27,4080900000.0,4765500000.0,684600000.0,13537704000.0,3.317332941262957
2019-07-01,81.91,4080900000.0,4765500000.0,684600000.0,14055756000.0,3.4442784679850034
2019-07-02,80.84,4080900000.0,4765500000.0,684600000.0,13872144000.0,3.399285451738587
2019-07-03,80.69,4080900000.0,4765500000.0,684600000.0,13846404000.0,3.39297801955451
2019-07-05,80.33,4080900000.0,4765500000.0,684600000.0,13784628000.0,3.3778401823127253
2019-07-08,79.35,4080900000.0,4765500000.0,684600000.0,13616459999.999998,3.3366316253767545
2019-07-09,79.76,4080900000.0,4765500000.0,684600000.0,13686816000.0,3.3538719400132324
2019-07-10,79.91,4080900000.0,4765500000.0,684600000.0,13712556000.0,3.3601793721973094
2019-07-11,79.18,4080900000.0,4765500000.0,684600000.0,13587288000.000002,3.3294832022348015
2019-07-12,81.01,4080900000.0,4765500000.0,684600000.0,13901316000.0,3.406433874880541
2019-07-15,82.04,4080900000.0,4765500000.0,684600000.0,14078064000.000002,3.449744909211204
2019-07-16,81.31,4080900000.0,4765500000.0,684600000.0,13952796000.0,3.4190487392486952
2019-07-17,80.17,4080900000.0,4765500000.0,684600000.0,13757172000.0,3.3711122546497094
2019-07-18,81.42,4080900000.0,4765500000.0,684600000.0,13971672000.0,3.423674189517018
2019-07-19,81.32,4080900000.0,4765500000.0,684600000.0,13954511999.999998,3.419469234727633
2019-07-22,83.27,4080900000.0,4765500000.0,684600000.0,14289132000.0,3.501465853120635
2019-07-23,84.54,4080900000.0,4765500000.0,684600000.0,14507064000.000002,3.554868778945821
2019-07-24,86.35,4080900000.0,4765500000.0,684600000.0,14817659999.999998,3.6309784606336835
2019-07-25,85.66,4080900000.0,4765500000.0,684600000.0,14699256000.0,3.601964272586929
2019-07-26,85.98,4080900000.0,4765500000.0,684600000.0,14754168000.0,3.6154201279129605
2019-07-29,86.8,4080900000.0,4765500000.0,684600000.0,14894880000.0,3.649900757185915
2019-07-30,87.75,4080900000.0,4765500000.0,684600000.0,15057900000.0,3.6898478276850692
2019-07-31,85.28,4080900000.0,4765500000.0,684600000.0,14634048000.0,3.5859854443872674
2019-08-01,82.77,4080900000.0,4765500000.0,684600000.0,14203332000.0,3.4804410791737115
2019-08-02,79.33,4080900000.0,4765500000.0,684600000.0,13613028000.0,3.335790634418878
2019-08-05,75.82,4080900000.0,4765500000.0,684600000.0,13010711999.999998,3.188196721311475
2019-08-06,77.66,4080900000.0,4765500000.0,684600000.0,13326456000.0,3.265567889436154
2019-08-07,79.9,4099900000.0,4842300000.0,742400000.0,13710840000.000002,3.344188882655675
2019-08-08,80.27,4099900000.0,4842300000.0,742400000.0,13774332000.0,3.3596751140271714
