date,close price,DOW_SHE,DOW_TA,DOW_TL,market cap,PB Ratio
2020-02-28,40.41,13541000000.0,60524000000.0,46983000000.0,30004424999.999996,2.2158204711616567
2020-03-02,41.42,13541000000.0,60524000000.0,46983000000.0,30754350000.0,2.2712022745735174
2020-03-03,40.56,13541000000.0,60524000000.0,46983000000.0,30115800000.0,2.224045491470349
2020-03-04,41.91,13541000000.0,60524000000.0,46983000000.0,31118174999.999996,2.298070674248578
2020-03-05,40.1,13541000000.0,60524000000.0,46983000000.0,29774250000.0,2.1988220958570266
2020-03-06,38.97,13541000000.0,60524000000.0,46983000000.0,28935225000.0,2.1368602761982127
2020-03-09,30.53,13541000000.0,60524000000.0,46983000000.0,22668525000.0,1.6740658001624695
2020-03-10,31.4,13541000000.0,60524000000.0,46983000000.0,23314500000.0,1.7217709179528837
2020-03-11,27.99,13541000000.0,60524000000.0,46983000000.0,20782575000.0,1.5347887896019496
2020-03-12,23.67,13541000000.0,60524000000.0,46983000000.0,17574975000.0,1.2979082047116166
2020-03-13,25.69,13541000000.0,60524000000.0,46983000000.0,19074825000.0,1.4086718115353372
2020-03-16,22.0,13541000000.0,60524000000.0,46983000000.0,16335000000.0,1.206336311941511
2020-03-17,26.6,13541000000.0,60524000000.0,46983000000.0,19750500000.0,1.4585702680747359
2020-03-18,26.44,13541000000.0,60524000000.0,46983000000.0,19631700000.0,1.4497969130787978
2020-03-19,28.12,13541000000.0,60524000000.0,46983000000.0,20879100000.0,1.5419171405361494
2020-03-20,27.44,13541000000.0,60524000000.0,46983000000.0,20374200000.0,1.504630381803412
2020-03-23,26.58,13541000000.0,60524000000.0,46983000000.0,19735650000.0,1.4574735987002436
2020-03-24,28.47,13541000000.0,60524000000.0,46983000000.0,21138975000.0,1.5611088545897644
2020-03-25,30.38,13541000000.0,60524000000.0,46983000000.0,22557150000.0,1.6658407798537773
2020-03-26,29.68,13541000000.0,60524000000.0,46983000000.0,22037400000.0,1.6274573517465476
