date,LDOS,dcf,Deviation
2012-05-14,27.38,30.696363636363635,-0.10803767103003026
2012-05-15,27.16,30.346363636363638,-0.10499985021419378
2012-05-16,26.81,29.806363636363635,-0.10052764815323145
2012-05-17,26.27,29.166363636363638,-0.09930492784340628
2012-05-18,25.63,29.556363636363635,-0.13284325787401574
2012-05-21,26.02,29.486363636363638,-0.11755819330969641
2012-05-22,25.95,29.466363636363635,-0.11933483478851081
2012-05-23,25.93,29.536363636363635,-0.12209910741766694
2012-05-24,26.0,29.756363636363638,-0.12623732127581577
2012-05-25,26.22,30.896363636363635,-0.15135644088742417
2012-05-29,27.36,30.896363636363635,-0.11445889483905136
2012-05-30,27.36,30.966363636363635,-0.1164606758065937
2012-05-31,27.43,30.396363636363635,-0.09758942457231723
2012-06-01,26.86,30.796363636363637,-0.12781910497107096
2012-06-04,27.26,30.846363636363638,-0.11626536205829474
2012-06-05,27.31,31.856363636363636,-0.1427144569373895
2012-06-06,28.32,31.856363636363636,-0.11100964556817527
2012-06-07,28.32,31.976363636363637,-0.11434582361971912
2012-06-08,28.44,31.856363636363636,-0.10724273728668454
2012-06-11,28.32,32.10636363636364,-0.11793187416824769
2012-06-12,28.57,32.22636363636364,-0.11345877175660812
2012-06-13,28.69,32.306363636363635,-0.11193966851450587
2012-06-14,28.77,33.75636363636364,-0.14771625552084455
2012-06-15,30.22,32.81636363636363,-0.07911795667349986
2012-06-18,29.28,32.57636363636364,-0.10118881509181221
2012-06-19,29.04,32.916363636363634,-0.11776403004860803
2012-06-20,29.38,32.54636363636364,-0.09728778525739512
2012-06-21,29.01,32.81636363636363,-0.11598980552939209
2012-06-22,29.28,32.47636363636364,-0.09842122942559617
2012-06-25,28.94,32.42636363636364,-0.1075163307073369
2012-06-26,28.89,32.916363636363634,-0.12232103402562966
2012-06-27,29.38,32.846363636363634,-0.1055326450970081
2012-06-28,29.31,33.46636363636364,-0.12419525711026003
2012-06-29,29.93,33.416363636363634,-0.10433102997986832
2012-07-02,29.88,33.556363636363635,-0.109557867360208
2012-07-03,30.02,33.06636363636363,-0.09212877683996368
2012-07-05,29.53,32.25636363636364,-0.08452172932754631
2012-07-06,28.72,32.026363636363634,-0.10323880893581994
2012-07-09,28.49,32.00636363636364,-0.10986451557928834
2012-07-10,28.47,32.20636363636363,-0.11601321026335842
2012-07-11,28.67,31.856363636363636,-0.10002282974716048
2012-07-12,28.32,31.886363636363637,-0.11184604419101929
2012-07-13,28.35,31.416363636363638,-0.0976040280108803
2012-07-16,27.88,31.656363636363636,-0.11929240135546493
2012-07-17,28.12,31.806363636363635,-0.11590019149969977
2012-07-18,28.27,31.516363636363636,-0.10300565362870662
2012-07-19,27.98,30.996363636363636,-0.0973134678554669
2012-07-20,27.46,30.396363636363635,-0.09660246440961828
2012-07-23,26.86,30.446363636363635,-0.11779283986742706
2012-07-24,26.91,30.326363636363638,-0.11265325699211615
2012-07-25,26.79,30.446363636363635,-0.12009196500552388
2012-07-26,26.91,31.096363636363638,-0.13462550429749165
2012-07-27,27.56,31.836363636363636,-0.1343232438606511
2012-07-30,28.3,32.10636363636364,-0.11855480363564297
2012-07-31,28.57,31.01710843373494,-0.07889544052640984
2012-08-01,28.74,30.52710843373494,-0.05854168722249642
2012-08-02,28.25,31.13710843373494,-0.09272243245962286
2012-08-03,28.86,31.31710843373494,-0.0784589815797978
2012-08-06,29.04,31.55710843373494,-0.07976359554679979
2012-08-07,29.28,31.73710843373494,-0.0774206774024554
2012-08-08,29.46,31.90710843373494,-0.07669477285342619
2012-08-09,29.63,32.10710843373494,-0.07715140212166371
2012-08-10,29.83,31.85710843373494,-0.06363127519722866
2012-08-13,29.58,31.75710843373494,-0.0685549957508802
2012-08-14,29.48,32.02710843373494,-0.07952976582338
2012-08-15,29.75,31.83710843373494,-0.06555584148224392
2012-08-16,29.56,31.83710843373494,-0.07152372014168518
2012-08-17,29.56,31.48710843373494,-0.061203093252928165
2012-08-20,29.21,31.48710843373494,-0.07231875351549488
2012-08-21,29.21,31.38710843373494,-0.0693631411868122
2012-08-22,29.11,31.21710843373494,-0.06749851409869467
2012-08-23,28.94,31.31710843373494,-0.07590446732222267
2012-08-24,29.04,31.23710843373494,-0.07033648579847884
2012-08-27,28.96,31.33710843373494,-0.07585602349883502
2012-08-28,29.06,31.41710843373494,-0.07502626916498567
2012-08-29,29.14,31.437108433734938,-0.0730699656610252
2012-08-30,29.16,32.42710843373494,-0.10075238254472485
2012-08-31,30.15,32.15710843373494,-0.06241570002697605
2012-09-04,29.88,31.80710843373494,-0.060587350709661814
2012-09-05,29.53,32.49710843373494,-0.09130376752704583
2012-09-06,30.22,32.49710843373494,-0.07007110919970627
2012-09-07,30.22,32.62710843373494,-0.0737763335241225
2012-09-10,30.35,32.96710843373494,-0.07938544076425214
2012-09-11,30.69,33.38710843373494,-0.08078292970737555
2012-09-12,31.11,33.58710843373494,-0.07375176218643842
2012-09-13,31.31,34.32710843373494,-0.0878928803327309
2012-09-14,32.05,33.60710843373494,-0.046332710736039284
2012-09-17,31.33,33.63710843373494,-0.06858819146954742
2012-09-18,31.36,33.60710843373494,-0.06686408139414002
2012-09-19,31.33,33.65710843373494,-0.06914166255002618
2012-09-20,31.38,33.36710843373494,-0.059552910845757534
2012-09-21,31.09,33.11710843373494,-0.06121030879827705
2012-09-24,30.84,32.39710843373494,-0.048063191717243936
2012-09-25,30.12,32.39710843373494,-0.07028739735808642
2012-09-26,30.12,32.10710843373494,-0.06188998420197467
2012-09-27,29.83,32.00710843373494,-0.06801952879443207
2012-09-28,29.73,31.83710843373494,-0.06618403923586935
2012-10-01,29.56,31.437108433734938,-0.05970995830267356
2012-10-02,29.16,31.06710843373494,-0.06138673761038094
2012-10-03,28.79,30.64710843373494,-0.060596530264849346
2012-10-04,28.37,30.32710843373494,-0.06453330155135761
2012-10-05,28.05,30.37710843373494,-0.07660730575496766
2012-10-08,28.1,30.15710843373494,-0.06821305292764002
2012-10-09,27.88,29.55710843373494,-0.05674128907077991
2012-10-10,27.28,29.38710843373494,-0.07170179531226295
2012-10-11,27.11,29.16710843373494,-0.07052836377004956
2012-10-12,26.89,29.28710843373494,-0.08184858669672501
2012-10-15,27.01,29.55710843373494,-0.08617583277624685
2012-10-16,27.28,29.70710843373494,-0.08170126820484325
2012-10-17,27.43,29.63710843373494,-0.07447111241198767
2012-10-18,27.36,29.16710843373494,-0.06195706502207887
2012-10-19,26.89,29.28710843373494,-0.08184858669672501
2012-10-22,27.01,29.06710843373494,-0.07077100353564869
