date,FDX,dcf,Deviation
2009-01-22,56.33,59.06072976257544,-0.046235963787663925
2009-01-23,54.12,59.51072976257545,-0.09058416497465849
2009-01-26,54.57,60.51072976257545,-0.0981764686343225
2009-01-27,55.57,61.690729762575444,-0.09921636177966842
2009-01-28,56.75,59.47072976257544,-0.04574905627419379
2009-01-29,54.53,55.88072976257544,-0.024171655744554266
2009-01-30,50.94,54.090729762575435,-0.058248978640243476
2009-02-02,49.15,57.77072976257543,-0.14922314116516566
2009-02-03,52.83,56.190729762575444,-0.05980932756658708
2009-02-04,51.25,57.52072976257543,-0.10901686728347693
2009-02-05,52.58,60.21072976257545,-0.12673371993106786
2009-02-06,55.27,60.60072976257543,-0.0879647783691786
2009-02-09,55.66,56.97072976257544,-0.023007073422402824
2009-02-10,52.03,57.48072976257545,-0.09482708005082274
2009-02-11,52.54,57.17072976257544,-0.08099826225424123
2009-02-12,52.23,56.75072976257544,-0.07965941198445448
2009-02-13,51.81,54.140729762575454,-0.043049470755131214
2009-02-17,49.2,52.940729762575444,-0.07065882505495447
2009-02-18,48.0,52.610729762575446,-0.08763858215582632
2009-02-19,47.67,51.900729762575445,-0.0815158049208421
2009-02-20,46.96,49.49072976257544,-0.05113543030616541
2009-02-23,44.55,51.81072976257544,-0.14013949998095
2009-02-24,46.87,49.260729762575444,-0.04853216292365492
2009-02-25,44.32,48.270729762575435,-0.08184524621872313
2009-02-26,43.33,48.150729762575445,-0.10011748080134597
2009-02-27,43.21,48.86238193510773,-0.11567962328595527
2009-03-02,40.3,48.642381935107736,-0.17150438780397403
2009-03-03,40.08,51.142381935107736,-0.21630556725230932
2009-03-04,42.58,47.56238193510774,-0.10475467654049597
2009-03-05,39.0,44.32238193510773,-0.12008339134165247
2009-03-06,35.76,42.84238193510774,-0.1653125156728037
2009-03-09,34.28,45.65238193510774,-0.24910818347382035
2009-03-10,37.09,46.12238193510774,-0.1958351142362057
2009-03-11,37.56,47.12238193510774,-0.20292654026437162
2009-03-12,38.56,46.56238193510774,-0.17186367197151464
2009-03-13,38.0,48.72238193510773,-0.22007097168173417
2009-03-16,40.16,50.54238193510773,-0.20541932409196417
2009-03-17,41.98,51.61238193510773,-0.18662928494985043
2009-03-18,43.05,53.66238193510774,-0.19776203650335478
2009-03-19,45.1,50.462381935107736,-0.10626493894012978
2009-03-20,41.9,53.102381935107736,-0.21095818166494473
2009-03-23,44.54,52.13238193510774,-0.14563658235601873
2009-03-24,43.57,51.83238193510774,-0.159405792800569
2009-03-25,43.27,55.54238193510773,-0.22095526888720785
2009-03-26,46.98,54.24238193510774,-0.1338875926170796
2009-03-27,45.68,52.642381935107736,-0.1322581098949942
2009-03-30,44.08,53.05238193510774,-0.16912307436228824
2009-03-31,44.49,53.52238193510774,-0.16875896790353773
2009-04-01,44.96,57.642381935107736,-0.22001835297828642
2009-04-02,49.08,58.58238193510774,-0.1622054553130602
2009-04-03,50.02,56.87238193510774,-0.12048698686343773
2009-04-06,48.31,55.05238193510774,-0.12247212015376974
2009-04-07,46.49,56.532381935107736,-0.17763946239935835
2009-04-08,47.97,59.48238193510774,-0.19354271904691311
2009-04-09,50.92,59.54238193510773,-0.14481083313907106
2009-04-13,50.98,59.23238193510774,-0.13932213538447047
2009-04-14,50.67,58.602381935107736,-0.13535937743778936
2009-04-15,50.04,62.80238193510774,-0.20321493455924677
2009-04-16,54.24,61.81238193510774,-0.12250590736104328
2009-04-17,53.25,59.642381935107736,-0.10717851513815779
2009-04-20,51.08,61.09238193510774,-0.1638892054617036
2009-04-21,52.53,61.80238193510774,-0.15003275998073506
2009-04-22,53.24,63.602381935107736,-0.162924431756035
2009-04-23,55.04,64.62238193510774,-0.14828271023389605
2009-04-24,56.06,61.38238193510774,-0.08670862497213705
2009-04-27,52.82,61.87238193510774,-0.14630731276196784
2009-04-28,53.31,63.83238193510774,-0.16484394935794244
2009-04-29,55.27,64.52238193510773,-0.1433980218587273
2009-04-30,55.96,63.69238193510774,-0.12140199031943555
2009-05-01,55.13,68.07238193510773,-0.19012676752585922
2009-05-04,59.51,69.32238193510773,-0.14154709721736114
2009-05-05,60.76,70.27238193510773,-0.13536444436865447
2009-05-06,61.71,67.88238193510773,-0.0909275979886538
2009-05-07,59.32,68.62238193510774,-0.1355590067378376
2009-05-08,60.06,65.73238193510774,-0.08629509182715489
2009-05-11,57.17,63.68238193510773,-0.10226347911646638
2009-05-12,55.12,61.27238193510774,-0.1004103601133639
2009-05-13,52.71,61.97238193510773,-0.14945983429855114
2009-05-14,53.41,61.54238193510773,-0.13214278809817237
2009-05-15,52.98,62.62238193510774,-0.15397660767837984
2009-05-18,54.06,63.20238193510774,-0.14465249022567794
2009-05-19,54.64,64.24238193510773,-0.14947113799122902
2009-05-20,55.68,61.99238193510774,-0.1018251233145937
2009-05-21,53.43,61.40238193510774,-0.12983831707918503
2009-05-22,52.84,63.91238193510774,-0.17324314318859024
2009-05-26,55.35,61.92238193510774,-0.10613903615651188
2009-05-27,53.36,62.142381935107736,-0.14132676704087
2009-05-28,53.58,63.99238193510774,-0.16271283581327767
2009-05-29,55.43,65.13020408755119,-0.14893557026954352
2009-06-01,57.88,64.90020408755119,-0.10816921435379223
2009-06-02,57.65,63.55020408755118,-0.09284319652888373
2009-06-03,56.3,64.25020408755118,-0.12373819197084202
2009-06-04,57.0,64.36020408755118,-0.11435955171209322
2009-06-05,57.11,63.71020408755119,-0.10359728370169907
2009-06-08,56.46,64.3102040875512,-0.12206778378224425
2009-06-09,57.06,64.50020408755118,-0.11535163636772383
2009-06-10,57.25,63.410204087551186,-0.09714846649989839
2009-06-11,56.16,61.64020408755118,-0.08890632613362748
2009-06-12,54.39,59.26020408755119,-0.08218338364741262
2009-06-15,52.01,58.67020408755119,-0.11351936116691252
2009-06-16,51.42,57.95020408755119,-0.11268647264270815
2009-06-17,50.7,59.21020408755119,-0.1437286734389156
2009-06-18,51.96,58.70020408755119,-0.11482420193119258
2009-06-19,51.45,57.30020408755118,-0.10209743893080081
2009-06-22,50.05,58.00020408755119,-0.1370720019458962
2009-06-23,50.75,60.14020408755118,-0.1561385470837623
2009-06-24,52.89,63.54020408755118,-0.1676136273165949
2009-06-25,56.29,62.660204087551186,-0.10166267697836573
2009-06-26,55.41,62.880204087551185,-0.1188005700037178
2009-06-29,55.63,62.87020408755119,-0.11516113543179674
2009-06-30,55.62,63.43020408755118,-0.12313067882882656
2009-07-01,56.18,61.57020408755118,-0.08754565893409183
2009-07-02,54.32,63.29020408755118,-0.14173131872260103
2009-07-06,56.04,61.57020408755118,-0.08981948605671963
2009-07-07,54.32,60.61020408755119,-0.10378127218421862
2009-07-08,53.36,61.180204087551196,-0.12782245832917116
2009-07-09,53.93,62.130204087551185,-0.13198418076972374
2009-07-10,54.88,63.05020408755118,-0.12958251612010763
2009-07-13,55.8,62.79020408755118,-0.11132634762270288
2009-07-14,55.54,64.61020408755118,-0.14038346133778568
2009-07-15,57.36,69.04020408755119,-0.16917974449697892
2009-07-16,61.79,67.7202040875512,-0.08756919987843526
2009-07-17,60.47,68.94020408755118,-0.1228630550149572
2009-07-20,61.69,67.7202040875512,-0.08904586406377524
2009-07-21,60.47,69.05020408755118,-0.12426037259313583
2009-07-22,61.8,71.49020408755118,-0.13554590046608317
2009-07-23,64.24,72.23020408755119,-0.11062136939092904
2009-07-24,64.98,73.84020408755119,-0.11999159803304138
2009-07-27,66.59,72.86020408755118,-0.08605800884137926
2009-07-28,65.61,73.00020408755118,-0.1012353894064173
2009-07-29,65.75,74.63020408755119,-0.11898941180883715
2009-07-30,67.38,75.09020408755119,-0.10267922668796459
2009-07-31,67.84,76.19020408755118,-0.10959682005781013
2009-08-03,68.94,75.69020408755118,-0.08918200405092302
2009-08-04,68.44,74.63020408755119,-0.08294502424633943
2009-08-05,67.38,73.62020408755119,-0.08476211340205153
2009-08-06,66.37,75.11020408755118,-0.11636506908386612
2009-08-07,67.86,74.37020408755119,-0.08753780048643067
2009-08-10,67.12,73.2202040875512,-0.08331312598168983
2009-08-11,65.97,73.63020408755119,-0.10403616535467841
2009-08-12,66.38,74.16020408755118,-0.10491076964089963
2009-08-13,66.91,73.2602040875512,-0.08668013100212302
2009-08-14,66.01,71.13020408755119,-0.07198354276122898
2009-08-17,63.88,73.02020408755118,-0.12517363107602486
2009-08-18,65.77,72.9002040875512,-0.0978077383567818
2009-08-19,65.65,73.35020408755118,-0.10497863207524505
2009-08-20,66.1,75.12020408755119,-0.12007693798379881
2009-08-21,67.87,75.09020408755119,-0.09615374169356106
2009-08-24,67.84,75.5102040875512,-0.10157837844879736
2009-08-25,68.26,75.0102040875512,-0.08999047755785894
