DE,dcf,Deviation
6.44,,
6.19,,
6.25,,
5.98,,
5.96,,
6.0,,
5.88,,
5.9,,
5.88,,
5.85,,
5.85,,
5.96,,
6.04,,
6.15,,
6.08,,
6.02,,
6.08,,
6.08,,
6.17,,
6.08,,
6.08,,
6.1,,
6.1,,
5.88,,
5.85,,
5.85,,
5.94,,
6.04,,
5.96,,
5.92,,
5.96,,
5.88,,
5.88,,
5.85,,
5.83,,
5.63,,
5.6,,
5.54,,
5.56,,
5.46,,
5.38,,
5.48,,
5.33,,
5.4,,
5.4,,
5.35,,
5.35,,
5.35,,
5.33,,
5.13,,
5.23,,
5.27,,
5.17,,
5.21,,
5.33,,
5.27,,
5.21,,
5.06,,
5.08,,
5.23,,
5.17,,
5.27,,
5.27,,
5.25,,
5.27,,
5.17,,
4.83,,
4.79,,
4.94,,
5.0,,
5.06,,
4.94,,
4.96,,
4.98,,
4.96,,
4.88,,
4.77,,
5.0,,
4.88,,
5.08,,
5.04,,
4.98,,
4.98,,
4.92,,
4.83,,
4.92,,
4.98,,
5.04,,
5.19,,
5.1,,
5.06,,
5.0,,
5.04,,
5.06,,
5.08,,
5.13,,
5.08,,
5.04,,
5.04,,
5.15,,
5.25,,
5.21,,
5.17,,
5.17,,
5.17,,
5.13,,
5.17,,
5.25,,
5.42,,
5.42,,
5.44,,
5.46,,
5.6,,
5.56,,
5.44,,
5.42,,
5.31,,
5.33,,
5.27,,
5.23,,
5.25,,
5.38,,
5.54,,
5.4,,
5.48,,
5.46,,
5.4,,
5.38,,
5.44,,
5.67,,
5.69,,
5.75,,
5.83,,
5.88,,
6.02,,
5.83,,
5.79,,
5.83,,
5.88,,
5.81,,
5.85,,
5.92,,
5.96,,
5.9,,
5.9,,
6.02,,
6.27,,
6.19,,
6.25,,
6.23,,
6.25,,
6.33,,
6.25,,
6.21,,
6.17,,
6.04,,
6.13,,
6.17,,
6.17,,
6.08,,
6.08,,
6.04,,
6.04,,
6.15,,
6.1,,
6.08,,
5.98,,
5.9,,
5.96,,
6.08,,
6.08,,
5.96,,
6.0,,
5.96,,
5.96,,
6.15,,
6.35,,
6.5,,
6.44,,
6.5,,
6.5,,
6.44,,
6.67,,
6.83,,
6.88,,
6.9,,
6.94,,
6.71,,
6.63,,
6.71,,
6.88,,
6.94,,
6.92,,
6.92,,
6.83,,
6.83,,
6.88,,
6.96,,
7.13,,
7.06,,
7.13,,
7.17,,
7.06,,
7.08,,
7.04,,
6.81,,
6.92,,
6.98,,
6.92,,
6.94,,
7.0,,
6.9,,
6.83,,
7.04,,
7.21,,
6.94,,
7.02,,
7.1,,
7.25,,
7.52,,
7.48,,
7.48,,
7.5,,
7.75,,
7.83,,
7.98,,
7.77,,
7.67,,
7.83,,
7.94,,
8.08,,
8.13,,
8.15,,
8.25,,
8.17,,
7.94,,
7.67,,
7.46,,
7.17,,
7.08,,
7.27,,
7.25,,
7.31,,
7.33,,
7.38,,
7.35,,
7.46,,
7.58,,
7.69,,
7.96,,
8.15,,
7.92,,
8.0,,
7.56,,
7.54,,
7.67,,
7.44,,
7.06,,
7.25,,
7.42,,
7.29,,
7.15,,
7.0,,
7.21,,
7.38,,
7.23,,
7.13,,
7.08,,
7.0,,
6.94,,
7.0,,
7.0,,
7.04,,
7.04,,
7.02,,
7.19,,
7.25,,
7.19,,
7.27,,
7.35,,
7.29,,
7.27,,
7.27,,
7.25,,
7.23,,
7.15,,
7.04,,
7.0,,
6.96,,
7.13,,
7.04,,
7.38,,
7.42,,
7.54,,
7.42,,
7.46,,
7.46,,
7.44,,
7.52,,
7.54,,
7.27,,
7.4,,
7.42,,
7.42,,
7.48,,
7.42,,
7.42,,
7.48,,
7.5,,
7.52,,
7.65,,
7.77,,
7.65,,
7.67,,
7.69,,
7.79,,
7.81,,
7.73,,
7.67,,
7.69,,
7.67,,
7.65,,
7.65,,
7.71,,
7.6,,
7.46,,
7.35,,
7.5,,
7.35,,
7.31,,
7.27,,
7.6,,
7.67,,
7.56,,
7.31,,
7.4,,
7.27,,
7.06,,
7.0,,
7.1,,
7.17,,
7.15,,
7.08,,
7.06,,
7.08,,
7.04,,
7.13,,
7.15,,
7.21,,
7.4,,
7.35,,
7.19,,
7.17,,
7.13,,
7.17,,
7.1,,
7.0,,
7.0,,
6.96,,
7.0,,
6.96,,
6.94,,
6.77,,
6.67,,
6.79,,
6.75,,
6.63,,
6.63,,
6.63,,
6.63,,
6.58,,
6.58,,
6.54,,
6.48,,
6.6,,
6.5,,
6.46,,
6.54,,
6.6,,
6.58,,
6.56,,
6.52,,
6.56,,
6.69,,
6.67,,
6.65,,
6.56,,
6.56,,
6.67,,
6.75,,
6.54,,
6.44,,
6.44,,
6.4,,
6.27,,
6.38,,
6.48,,
6.38,,
6.31,,
6.33,,
6.25,,
6.27,,
6.33,,
6.33,,
6.35,,
