date,LEN,dcf,Deviation
1984-02-07,2.62,,
1984-02-08,2.58,,
1984-02-09,2.58,,
1984-02-10,2.54,,
1984-02-13,2.38,,
1984-02-14,2.29,,
1984-02-15,2.36,,
1984-02-16,2.42,,
1984-02-17,2.46,,
1984-02-21,2.27,,
1984-02-22,2.27,,
1984-02-23,2.27,,
1984-02-24,2.25,,
1984-02-27,2.27,,
1984-02-28,2.21,,
1984-02-29,2.23,,
1984-03-01,2.23,,
1984-03-02,2.21,,
1984-03-05,2.21,,
1984-03-06,2.15,,
1984-03-07,2.13,,
1984-03-08,2.15,,
1984-03-09,2.13,,
1984-03-12,2.11,,
1984-03-13,2.15,,
1984-03-14,2.19,,
1984-03-15,2.19,,
1984-03-16,2.21,,
1984-03-19,2.15,,
1984-03-20,2.17,,
1984-03-21,2.19,,
1984-03-22,2.17,,
1984-03-23,2.17,,
1984-03-26,2.15,,
1984-03-27,2.15,,
1984-03-28,2.19,,
1984-03-29,2.27,,
1984-03-30,2.36,,
1984-04-02,2.42,,
1984-04-03,2.34,,
1984-04-04,2.29,,
1984-04-05,2.27,,
1984-04-06,2.23,,
1984-04-09,2.17,,
1984-04-10,2.13,,
1984-04-11,2.13,,
1984-04-12,2.17,,
1984-04-13,2.21,,
1984-04-16,2.27,,
1984-04-17,2.29,,
1984-04-18,2.25,,
1984-04-19,2.21,,
1984-04-23,2.21,,
1984-04-24,2.21,,
1984-04-25,2.19,,
1984-04-26,2.21,,
1984-04-27,2.21,,
1984-04-30,2.11,,
1984-05-01,2.15,,
1984-05-02,2.15,,
1984-05-03,2.13,,
1984-05-04,2.13,,
1984-05-07,2.15,,
1984-05-08,2.17,,
1984-05-09,2.09,,
1984-05-10,2.05,,
1984-05-11,1.99,,
1984-05-14,1.93,,
1984-05-15,1.91,,
1984-05-16,1.93,,
1984-05-17,1.91,,
1984-05-18,1.78,,
1984-05-21,1.82,,
1984-05-22,1.95,,
1984-05-23,1.93,,
1984-05-24,1.91,,
1984-05-25,1.88,,
1984-05-29,1.84,,
1984-05-30,1.86,,
1984-05-31,1.86,,
1984-06-01,1.8,,
1984-06-04,1.86,,
1984-06-05,1.86,,
