CHRW,dcf,Deviation
13.11,14.69861980618454,-0.10807952223623873
13.22,14.99861980618454,-0.11858556514987739
13.52,15.15861980618454,-0.10809821917401752
13.68,15.15861980618454,-0.09754316851335498
13.68,15.07861980618454,-0.09275516089416169
13.6,15.33861980618454,-0.11334916884004953
13.86,15.98861980618454,-0.13313343065179217
14.51,15.31861980618454,-0.05278672729106304
13.84,14.98861980618454,-0.07663279348179886
13.51,15.462717847737895,-0.1262855512831832
14.02,15.062717847737895,-0.06922507998080107
13.62,15.532717847737894,-0.12314122141969208
14.09,15.212717847737895,-0.07380126674109333
13.77,15.032717847737894,-0.08399797432025291
13.59,15.042717847737896,-0.09657283094998381
13.6,14.502717847737895,-0.062244736277393575
13.06,14.792717847737896,-0.1171331641401423
13.35,14.882717847737895,-0.10298642112407319
13.44,14.822717847737895,-0.09328369209624487
13.38,15.192717847737894,-0.11931491560002849
13.75,15.082717847737895,-0.0883605899939165
13.64,15.242717847737895,-0.10514646165780384
13.8,15.242717847737895,-0.09464964595877512
13.8,15.252717847737895,-0.09524321253692791
13.81,15.382717847737895,-0.10223927028403312
13.94,16.082717847737896,-0.1332310787283556
14.64,16.152717847737893,-0.09365097948205303
14.71,16.402717847737893,-0.10319740078753692
14.96,16.002717847737895,-0.06515879725301099
14.56,16.002717847737895,-0.09015455133715511
14.56,16.392717847737895,-0.11180073156635217
14.95,16.232717847737895,-0.07902052261178483
14.79,16.442717847737896,-0.10051366586973753
15.0,16.662717847737895,-0.09978671324399957
15.22,16.872717847737896,-0.09795208232913544
15.43,16.852717847737896,-0.08442067686600851
15.41,16.362717847737894,-0.05822491450401712
14.92,16.672717847737896,-0.10512490307485767
15.23,16.132717847737894,-0.05595572031060292
14.69,16.242717847737893,-0.0955947066428996
14.8,16.572717847737895,-0.10696603079982214
15.13,16.962717847737895,-0.10804387977144247
15.52,17.072717847737895,-0.09094731498439357
15.63,16.552717847737895,-0.05574418994062624
15.11,16.642717847737895,-0.09209540543561068
15.2,17.022717847737894,-0.10707560708233854
15.58,16.892717847737895,-0.07770909687653849
15.45,16.572717847737895,-0.06774494431467926
15.13,16.572717847737895,-0.0870537868919804
15.13,16.172717847737896,-0.06447387863652998
14.73,16.572717847737895,-0.11118984011360677
15.13,16.722717847737893,-0.09524276270399079
15.28,16.762717847737896,-0.08845330818104702
15.32,16.922717847737896,-0.09470806416311761
15.48,17.032717847737896,-0.09116089761001422
15.59,17.212717847737895,-0.0942743535386048
15.77,17.262717847737896,-0.08647061609325335
15.82,16.902717847737893,-0.06405584341472004
15.46,17.232717847737895,-0.10286931309390612
15.79,17.482717847737895,-0.09682235122023197
16.04,17.782717847737896,-0.09800064661991947
16.34,17.722717847737893,-0.07801951481806058
