date,CCL,dcf,Deviation
1993-09-10,10.31,,
1993-09-13,10.34,,
1993-09-14,10.28,,
1993-09-15,9.94,,
1993-09-16,10.0,,
1993-09-17,10.31,,
1993-09-20,10.25,,
1993-09-21,10.28,,
1993-09-22,10.56,,
1993-09-23,10.88,,
1993-09-24,10.69,,
1993-09-27,10.72,,
1993-09-28,10.94,,
1993-09-29,10.97,,
1993-09-30,11.0,,
1993-10-01,11.09,,
1993-10-04,11.16,,
1993-10-05,11.53,,
1993-10-06,11.59,,
1993-10-07,11.28,,
1993-10-08,11.22,,
1993-10-11,11.34,,
1993-10-12,11.41,,
1993-10-13,11.41,,
1993-10-14,11.88,,
1993-10-15,12.06,,
1993-10-18,11.72,,
1993-10-19,11.53,,
1993-10-20,11.38,,
1993-10-21,11.47,,
1993-10-22,11.56,,
1993-10-25,11.56,,
1993-10-26,11.5,,
1993-10-27,11.66,,
1993-10-28,11.91,,
1993-10-29,11.88,,
1993-11-01,11.66,,
1993-11-02,11.38,,
1993-11-03,11.19,,
1993-11-04,11.22,,
1993-11-05,11.47,,
1993-11-08,11.34,,
1993-11-09,11.47,,
1993-11-10,11.47,,
1993-11-11,11.41,,
1993-11-12,11.41,,
1993-11-15,11.31,,
1993-11-16,11.09,,
1993-11-17,10.88,,
1993-11-18,10.66,,
1993-11-19,10.75,,
1993-11-22,10.97,,
1993-11-23,11.25,,
1993-11-24,11.66,,
1993-11-26,11.81,,
1993-11-29,11.94,,
1993-11-30,12.03,,
1993-12-01,12.16,,
1993-12-02,12.19,,
1993-12-03,12.0,,
1993-12-06,11.94,,
1993-12-07,11.94,,
